theme_number,theme_name,go_id,namespace,fdr,fold_enrichment,anchor_confidence,n_genes,genes
1,neuron projection development,GO:0031175,BP,1.51e-07,6.285349301397206,FDR<0.01,27,ALCAM;COBL;DCC;DISC1;DOCK10;DPYSL3;DSCAM;DSCAML1;EPHB1;FYN;IL1RAPL1;KAT2B;MAP2;NRCAM;NTN4;OLIG1;OPHN1;PRICKLE1;PTCH1;PTPRJ;PTPRZ1;SEMA5B;SEMA6D;SLIT1;TNR;TOX;ZNF804A
2,axon,GO:0030424,CC,1.96e-07,5.456032379685075,FDR<0.01,20,ADGRL3;ALCAM;C1QL1;CADM2;COBL;DCC;DISC1;DSCAM;DSCAML1;EPHB1;GRIK2;IGSF9B;IL1RAPL1;NCAM2;NRCAM;OPHN1;SCN1A;SLC1A1;UNC80;ZNF804A
3,nervous system development,GO:0007399,BP,1.44e-05,4.236448671284882,FDR<0.01,44,ADGRL3;BCAS1;BRINP2;BRINP3;CA10;DCC;DISC1;DNM3;DSCAM;DSCAML1;EPHB1;ERBB3;ERBB4;FGF12;FGF14;GPR158;GPR17;GRID2;IGSF9B;IL1RAPL1;LRRTM4;LSAMP;MACROD2;MAP2;MDGA2;NOVA1;NRCAM;OPHN1;PTCH1;PTPRZ1;SEMA5B;SEMA6D;SHROOM4;SIRT2;SLC1A1;SLIT1;SOX10;SOX6;SOX8;TMEM163;TNR;TOX;UGT8;ZEB2
4,glutamatergic synapse,GO:0098978,CC,8.07e-05,3.8941838063004424,FDR<0.01,19,ADGRL3;ARHGAP22;C1QL1;DISC1;DLGAP1;DOCK10;EPHB1;ERBB4;FXYD6;FYN;GRID2;GRIK2;IL1RAPL1;NRCAM;NXPH1;OPHN1;PRICKLE1;SHROOM4;TNR
5,postsynaptic density membrane,GO:0098839,CC,1.12e-04,8.83877245508982,FDR<0.01,9,DCC;ERBB4;GPR158;GRIA2;GRIA3;GRIA4;GRID2;GRIK2;NRCAM
6,dendrite,GO:0030425,CC,5.79e-04,3.832530061827565,FDR<0.01,23,ALCAM;BRINP2;BRINP3;COBL;DNM3;DOCK10;DSCAM;EPHB1;FYN;GLRA3;GRIA2;GRIA3;GRIA4;GRID2;GRIK2;IL1RAPL1;MAP2;OPHN1;PDE4B;PTCH1;SLC1A1;TRIM9;ZNF804A
7,glial cell projection,GO:0097386,CC,1.37e-03,16.368097139055223,FDR<0.01,5,CRB1;FYN;SIRT2;SLC1A1;SLC2A13
8,neuronal cell body,GO:0043025,CC,1.40e-03,4.232193072418698,FDR<0.01,13,ALCAM;BRINP2;BRINP3;COBL;DSCAM;GRIA2;GRIA4;GRIK2;MAP2;P2RX7;SCN1A;SLC1A1;ZNF804A
9,modulation of chemical synaptic transmission,GO:0050804,BP,1.40e-03,4.046362211199918,FDR<0.01,16,C1QL1;DCC;DLGAP1;EPHB1;FYN;GLRA3;GPR158;GRIA2;GRIA3;GRIA4;GRID2;GRIK2;NXPH1;OPHN1;SLC1A1;TNR
10,ionotropic glutamate receptor signaling pathway,GO:0035235,BP,2.29e-03,19.641716566866265,FDR<0.01,5,GRIA2;GRIA3;GRIA4;GRID2;GRIK2
